001  00389 |Loss: 1.519 | Acc: 44.851% 
001  00390 |Loss: 1.517 | Acc: 44.896% 
001  00391 |Loss: 1.517 | Acc: 44.921% 
001  00392 |Loss: 1.516 | Acc: 44.970% 
001  00393 |Loss: 1.515 | Acc: 44.998% 
001  00394 |Loss: 1.514 | Acc: 45.035% 
001  00395 |Loss: 1.513 | Acc: 45.051% 
001  00396 |Loss: 1.513 | Acc: 45.076% 
001  00397 |Loss: 1.512 | Acc: 45.108% 
001  00398 |Loss: 1.512 | Acc: 45.104% 
001  00399 |Loss: 1.511 | Acc: 45.140% 
001  00400 |Loss: 1.510 | Acc: 45.168% 
001  00401 |Loss: 1.510 | Acc: 45.196% 
001  00402 |Loss: 1.509 | Acc: 45.235% 
001  00403 |Loss: 1.507 | Acc: 45.297% 
001  00404 |Loss: 1.507 | Acc: 45.320% 
001  00405 |Loss: 1.507 | Acc: 45.328% 
001  00406 |Loss: 1.507 | Acc: 45.332% 
001  00407 |Loss: 1.506 | Acc: 45.370% 
001  00408 |Loss: 1.505 | Acc: 45.378% 
001  00409 |Loss: 1.504 | Acc: 45.423% 
001  00410 |Loss: 1.503 | Acc: 45.442% 
001  00411 |Loss: 1.502 | Acc: 45.465% 
001  00412 |Loss: 1.502 | Acc: 45.495% 
001  00413 |Loss: 1.501 | Acc: 45.532% 
001  00414 |Loss: 1.500 | Acc: 45.546% 
001  00415 |Loss: 1.500 | Acc: 45.572% 
001  00416 |Loss: 1.499 | Acc: 45.632% 
001  00417 |Loss: 1.498 | Acc: 45.661% 
001  00418 |Loss: 1.497 | Acc: 45.705% 
001  00419 |Loss: 1.496 | Acc: 45.753% 
001  00420 |Loss: 1.495 | Acc: 45.789% 
001  00421 |Loss: 1.494 | Acc: 45.836% 
001  00422 |Loss: 1.494 | Acc: 45.849% 
001  00423 |Loss: 1.493 | Acc: 45.863% 
001  00424 |Loss: 1.492 | Acc: 45.891% 
001  00425 |Loss: 1.492 | Acc: 45.908% 
001  00426 |Loss: 1.491 | Acc: 45.910% 
001  00427 |Loss: 1.490 | Acc: 45.949% 
001  00428 |Loss: 1.489 | Acc: 45.981% 
001  00429 |Loss: 1.489 | Acc: 45.990% 
001  00430 |Loss: 1.488 | Acc: 46.021% 
001  00431 |Loss: 1.487 | Acc: 46.081% 
001  00432 |Loss: 1.485 | Acc: 46.144% 
001  00433 |Loss: 1.484 | Acc: 46.175% 
001  00434 |Loss: 1.483 | Acc: 46.202% 
001  00435 |Loss: 1.482 | Acc: 46.250% 
001  00436 |Loss: 1.481 | Acc: 46.280% 
001  00437 |Loss: 1.481 | Acc: 46.306% 
001  00438 |Loss: 1.479 | Acc: 46.361% 
001  00439 |Loss: 1.479 | Acc: 46.402% 
001  00440 |Loss: 1.478 | Acc: 46.420% 
001  00441 |Loss: 1.478 | Acc: 46.446% 
001  00442 |Loss: 1.477 | Acc: 46.490% 
001  00443 |Loss: 1.476 | Acc: 46.508% 
001  00444 |Loss: 1.475 | Acc: 46.534% 
001  00445 |Loss: 1.474 | Acc: 46.580% 
001  00446 |Loss: 1.474 | Acc: 46.584% 
001  00447 |Loss: 1.473 | Acc: 46.616% 
001  00448 |Loss: 1.472 | Acc: 46.641% 
001  00449 |Loss: 1.472 | Acc: 46.652% 
